Kunde;KNR;Atera ID;Install.
Spenglerei Pallabazzer GmbH;00561;167;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=167&integratorLogin=felix.peer%40xivtech.de&customerName=Spenglerei%20Pallabazzer%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=167 AccountId=0013z00002XjLmlAAF"
Psenner KG d. Psenner Heidi u. Co.;00579;179;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=179&integratorLogin=felix.peer%40xivtech.de&customerName=Psenner%20KG%20d.%20Psenner%20Heidi%20u.%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=179 AccountId=0013z00002XjLmlAAF"
Holler G. S.a.s.;00584;119;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=119&integratorLogin=felix.peer%40xivtech.de&customerName=Holler%20G.%20S.a.s.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=119 AccountId=0013z00002XjLmlAAF"
TP Geology des Pinter Thomas;00592;157;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=157&integratorLogin=felix.peer%40xivtech.de&customerName=TP%20Geology%20des%20Pinter%20Thomas&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=157 AccountId=0013z00002XjLmlAAF"
VE.AN Bau des Verdorfer Andreas;00623;143;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=143&integratorLogin=felix.peer%40xivtech.de&customerName=VE.AN%20Bau%20des%20Verdorfer%20Andreas&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=143 AccountId=0013z00002XjLmlAAF"
Hotel Klammhof OHG d. Franceschini Katya u. Mark;00651;127;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=127&integratorLogin=felix.peer%40xivtech.de&customerName=Hotel%20Klammhof%20OHG%20d.%20Franceschini%20Katya%20u.%20Mark&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=127 AccountId=0013z00002XjLmlAAF"
Spinnradl GmbH;00686;166;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=166&integratorLogin=felix.peer%40xivtech.de&customerName=Spinnradl%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=166 AccountId=0013z00002XjLmlAAF"
Cargo Trans srl;00708;86;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=86&integratorLogin=felix.peer%40xivtech.de&customerName=Cargo%20Trans%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=86 AccountId=0013z00002XjLmlAAF"
Optik Julius;00719;147;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=147&integratorLogin=felix.peer%40xivtech.de&customerName=Optik%20Julius&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=147 AccountId=0013z00002XjLmlAAF"
Tischlerei Sanoll Heinrich;00760;158;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=158&integratorLogin=felix.peer%40xivtech.de&customerName=Tischlerei%20Sanoll%20Heinrich&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=158 AccountId=0013z00002XjLmlAAF"
Elektro W&W GmbH;00771;191;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=191&integratorLogin=felix.peer%40xivtech.de&customerName=Elektro%20W%26W%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=191 AccountId=0013z00002XjLmlAAF"
Reichhalter Roman Bauunternehmen;00823;177;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=177&integratorLogin=felix.peer%40xivtech.de&customerName=Reichhalter%20Roman%20Bauunternehmen&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=177 AccountId=0013z00002XjLmlAAF"
Mittempergher F.lli s.r.l;00842;138;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=138&integratorLogin=felix.peer%40xivtech.de&customerName=Mittempergher%20F.lli%20s.r.l&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=138 AccountId=0013z00002XjLmlAAF"
Global Solution snc di Fabio Specia & Co.;00864;112;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=112&integratorLogin=felix.peer%40xivtech.de&customerName=Global%20Solution%20snc%20di%20Fabio%20Specia%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=112 AccountId=0013z00002XjLmlAAF"
Schweigl Ernst & Co. OHG;00881;169;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=169&integratorLogin=felix.peer%40xivtech.de&customerName=Schweigl%20Ernst%20%26%20Co.%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=169 AccountId=0013z00002XjLmlAAF"
Köhl Michael & Co. OHG;00936;128;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=128&integratorLogin=felix.peer%40xivtech.de&customerName=K%C3%B6hl%20Michael%20%26%20Co.%20OHG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=128 AccountId=0013z00002XjLmlAAF"
Dekorateur Florian Pircher;00939;92;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=92&integratorLogin=felix.peer%40xivtech.de&customerName=Dekorateur%20Florian%20Pircher&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=92 AccountId=0013z00002XjLmlAAF"
Dr.ssa Francesca Zucali;00949;72;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=72&integratorLogin=felix.peer%40xivtech.de&customerName=Dr.ssa%20Francesca%20Zucali&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=72 AccountId=0013z00002XjLmlAAF"
MODA SNC - Gruppo Itas Assicurazioni;01065;140;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=140&integratorLogin=felix.peer%40xivtech.de&customerName=MODA%20SNC%20-%20Gruppo%20Itas%20Assicurazioni&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=140 AccountId=0013z00002XjLmlAAF"
Zahnärztliche Praxis Dr. Rainer Tanja;01092;97;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=97&integratorLogin=felix.peer%40xivtech.de&customerName=Zahn%C3%A4rztliche%20Praxis%20Dr.%20Rainer%20Tanja&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=97 AccountId=0013z00002XjLmlAAF"
Madroz srl | Ipoh Verona;01149;123;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=123&integratorLogin=felix.peer%40xivtech.de&customerName=Madroz%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=123 AccountId=0013z00002XjLmlAAF"
Dallio Bau;01166;90;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=90&integratorLogin=felix.peer%40xivtech.de&customerName=Dallio%20Bau%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=90 AccountId=0013z00002XjLmlAAF"
Madroz srl | Ipoh Kurtatsch;01171;123;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=123&integratorLogin=felix.peer%40xivtech.de&customerName=Madroz%20srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=123 AccountId=0013z00002XjLmlAAF"
Foradori Britta - Plonhof;01182;109;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=109&integratorLogin=felix.peer%40xivtech.de&customerName=Foradori%20Britta%20-%20Plonhof&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=109 AccountId=0013z00002XjLmlAAF"
Pinzonerkeller;01212;152;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=152&integratorLogin=felix.peer%40xivtech.de&customerName=Pinzonerkeller&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=152 AccountId=0013z00002XjLmlAAF"
Renofix GmbH;01289;174;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=174&integratorLogin=felix.peer%40xivtech.de&customerName=Renofix%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=174 AccountId=0013z00002XjLmlAAF"
Architekt Bampi Zeno;01344;78;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=78&integratorLogin=felix.peer%40xivtech.de&customerName=Architekt%20Bampi%20Zeno&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=78 AccountId=0013z00002XjLmlAAF"
Camping Passeier;01377;85;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=85&integratorLogin=felix.peer%40xivtech.de&customerName=Camping%20Passeier&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=85 AccountId=0013z00002XjLmlAAF"
Zahnarztpraxis Dr. Matthias Wolf;01378;98;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=98&integratorLogin=felix.peer%40xivtech.de&customerName=Zahnarztpraxis%20Dr.%20Matthias%20Wolf&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=98 AccountId=0013z00002XjLmlAAF"
Kastelaz KG des Calliari Stephan & Co.;01463;124;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=124&integratorLogin=felix.peer%40xivtech.de&customerName=Kastelaz%20KG%20des%20Calliari%20Stephan%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=124 AccountId=0013z00002XjLmlAAF"
Chizzali Giovanni & Co. KG;01475;88;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=88&integratorLogin=felix.peer%40xivtech.de&customerName=Chizzali%20Giovanni%20%26%20Co.%20KG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=88 AccountId=0013z00002XjLmlAAF"
Mkt-Technical Support Kg Des Martin Kloberdanz;01776;139;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=139&integratorLogin=felix.peer%40xivtech.de&customerName=Mkt-Technical%20Support%20Kg%20des%20Martin%20Kloberdanz&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=139 AccountId=0013z00002XjLmlAAF"
Renner Lechthaler & Alber Gmbh;01799;175;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=175&integratorLogin=felix.peer%40xivtech.de&customerName=B%C3%BCro%20Renner%20Lechthaler%20%26%20Alber%20Gmbh&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=175 AccountId=0013z00002XjLmlAAF"
Alka Gmbh;01806;75;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=75&integratorLogin=felix.peer%40xivtech.de&customerName=Alka%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=75 AccountId=0013z00002XjLmlAAF"
M.A.S. Fresh Logistics Gmbh;01828;134;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=134&integratorLogin=felix.peer%40xivtech.de&customerName=M.A.S.%20Fresh%20Logistics%20Gmbh&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=134 AccountId=0013z00002XjLmlAAF"
Estfeller GmbH;01830;105;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=105&integratorLogin=felix.peer%40xivtech.de&customerName=Estfeller%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=105 AccountId=0013z00002XjLmlAAF"
New Data Srl;01860;144;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=144&integratorLogin=felix.peer%40xivtech.de&customerName=New%20Data%20Srl&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=144 AccountId=0013z00002XjLmlAAF"
Schlosserei Pichler Thomas;02013;170;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=170&integratorLogin=felix.peer%40xivtech.de&customerName=Schlosserei%20Pichler%20Thomas&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=170 AccountId=0013z00002XjLmlAAF"
Realitätenbüro Oberrauch GmbH;02079;178;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=178&integratorLogin=felix.peer%40xivtech.de&customerName=Realit%C3%A4tenb%C3%BCro%20Oberrauch%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=178 AccountId=0013z00002XjLmlAAF"
Höller Hansjörg - Maler & Lackierer;02162;203;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=203&integratorLogin=felix.peer%40xivtech.de&customerName=H%C3%B6ller%20Hansj%C3%B6rg%20-%20Maler%20%26%20Lackierer&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=203 AccountId=0013z00002XjLmlAAF"
Tischlerei Passeier Genossenschaft;02185;159;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=159&integratorLogin=felix.peer%40xivtech.de&customerName=Tischlerei%20Passeier%20Genossenschaft&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=159 AccountId=0013z00002XjLmlAAF"
Heimatpflegeverband Südtirol;02302;117;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=117&integratorLogin=felix.peer%40xivtech.de&customerName=Heimatpflegeverband%20S%C3%BCdtirol&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=117 AccountId=0013z00002XjLmlAAF"
Auto Manuel Aldein des Ebner Manuel;02328;79;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=79&integratorLogin=felix.peer%40xivtech.de&customerName=Auto%20Manuel%20Aldein%20des%20Ebner%20Manuel&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=79 AccountId=0013z00002XjLmlAAF"
Enntec des Andreas Bicciato;02329;104;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=104&integratorLogin=felix.peer%40xivtech.de&customerName=Enntec%20des%20Andreas%20Bicciato&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=104 AccountId=0013z00002XjLmlAAF"
Smartflor OHG des Walder Thomas & Pamer Gertraud;02352;168;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=168&integratorLogin=felix.peer%40xivtech.de&customerName=Smartflor%20OHG%20des%20Walder%20Thomas%20%26%20Pamer%20Gertraud&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=168 AccountId=0013z00002XjLmlAAF"
Biovolt GmbH;02448;201;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=201&integratorLogin=felix.peer%40xivtech.de&customerName=Biovolt%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=201 AccountId=0013z00002XjLmlAAF"
Intermontes GmbH;02460;200;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=200&integratorLogin=felix.peer%40xivtech.de&customerName=Intermontes%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=200 AccountId=0013z00002XjLmlAAF"
Omina;02465;206;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=206&integratorLogin=felix.peer%40xivtech.de&customerName=Omina%20Romana&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn  IntegratorLogin=felix.peer@xivtech.de CompanyId=206 AccountId=0013z00002XjLmlAAF"
